Alberta	BBerta	0	https://youtu.be/Lco9RRH2w10
TEDx talk	The TED Talk is in reference to a Youtube video uploaded by TEDx Talks on August 16th, 2016 with the title "Joke's On Us", in which a high-school Aspecticor in a silly looking suit attempts to present an argument in favor of humor and why it is important in daily life -- Just watch it. Go ahead. Click the link. It speaks for itself. Andrew Will is a Brentwood student hailing from Red Deer, Alberta. He has many interests here at the school, ranging from musical theatre to debate. He is also a dedicated member of the Hockey Squad, although many would describe his position not as a left-wing but more of a left-bench. Being one of 60+ plus students from Alberta, he loves the temperate climate, but misses the piles of snow and the decent hockey teams back home (The Calgary Flames).	0	https://www.youtube.com/watch?v=LuXoLoMnoww 
bisexual	Bicycle? Huh? Say it into this ear, this ear's better.	0	https://www.youtube.com/watch?v=6PgGa9NPchQ
Hitman Horse	HITMAAAAAAAAAAAAAN HORSEEEEEEEEEEEEEE	0	https://twitter.com/Linkus7/status/1579278016613490689
being short	The human equivalent of a toy poodle	0	https://media.discordapp.net/attachments/885706697228816464/1108866303634178099/sa.png?width=265&height=471
dent	Open https://i.imgur.com/t6s5STf.png on stream right now do it you wont chat dont let him not open it please i beg you please please please	0	https://clips.twitch.tv/WonderfulAbstemiousLorisItsBoshyTime-nMm5-lbllUCLHaMB
Bald	(show scalp for demonstration)	0	https://clips.twitch.tv/TrustworthyBashfulKoalaHassanChop-N9CrqI89EINLUJcr
Speedrunning	he sure is a speedrunner (although he is easily mistaken for a slowstander)	0	https://clips.twitch.tv/StrangeTallButterGingerPower-2TLIfSnr1U_VtSu3
Hardcore freelancer speedrunner	"One more run chat, I swear!"	0	https://clips.twitch.tv/ColorfulCourteousRatMikeHogu-2E8A_aJm6JZv7-kk
Partnered	Partner application took months to get accepted, Xemdo allegedly pushed it along, accepted mid-subathon	0	https://clips.twitch.tv/CalmArbitraryDugongDoggo-y7dR3BN4zO98EWmI
Subathon	as opposed to a domathon, because he is a bottom	0	https://clips.twitch.tv/BlazingLaconicButterPeteZarollTie-3cLmkgG6XdHh5Nqu
Boris	Boris Joris is the REAL name of "Aspecticor"	0	https://clips.twitch.tv/AttractiveBoxyPotDerp-YBG1kY6-hLwJcdqO
Bird%	Bird% is the Hitman speedrun that all have been raven about. You have to fly through all the maps as quickly as possible without doing anything ill-eagle while only using the blue mascot da-skies. Starting in Parrot, France, Owlspecticor must assassinate Dalia Mallardgolis by dropping a chandelier on her, quacking her skull. In Flapienza, he must ignore the birds of pray in the church and instead head underground, eliminating a dangerous bird flu. In Marrakeet, he passes the people eggs-ercising their right to protest and head inside of the Swallow consulate. In Bangkokatrice, Jordan Crane is quacked on his bird-day while Ken "The Chick" Morgan poses no threat to our fine-feathered hitman, and goes down without so much as a hoot. In Coloradodo, Sean Crows, Ezra Bird and his crow-nies go down without a flight. In Hawkaido, ICA leader Erich Sparrows gets no special tweetment and leaves Diana feeling emu-tional. -- Moving to Hawk's Bay, Alma Flynard gets pecked by a syringe and her eagle-eyed guards can't spot Owlspecticor. In Flyami, Owlspecticor eggs-ecutes Sierra Hawks as the crowd hoots and hollers. In Santa Flamingo, he puts an end to the Caw-caine production in one fowl swoop. In Magpie, India, Dawoodpecker Robin thinks he's an up and coming comedi-hen, but is sent crashing down to Earth. Penguittleton Beak might seem more serene, but Owlspecticor goes stork raven mad and eliminates his long-forgotten foster feather. He then pays a visit to the Stork Society on the Isle of Seagull, is in impeckable form as he ends the bill-ionaires. In New Yolk, Owlspecticor has the option to crash the stork market, but instead goes cheep and gives Athenosprey his season's tweetings. Across the pond in the Maldoves, Tyson Billiams is feeling under the feather and Owlspecticor makes it worse by robin him of his life. -- In Dufly, he says "beakaboo" to Carl Wingram and Marcus Storkvescent. In Larkmoor, not far from Duckingham Palace, he is presented with a case to quack, but chooses to instead go quackers on Alexa Quailisle. In Birdlin, Owlspecticor tells his pursuers that toucan play at that game, and hunts them down until he's owl by himself. In Chongkingfisher, China, he gives Emugen Royce a wound not even the best duck-tor could heal. Hendoza, his hen-ultimate location, Heron Archibald Eagle was not emu-sed by Diana and got flown up by a rubber ducky. Finally, in the Cardinal Mountains, a guard asks if they are in U-crane, but they are in fact in Crow-mania. Owlspecticor ends this saga by making The Ostrich's memory crow away. -- I hate my life	0	https://clips.twitch.tv/AdorableFunZebraCoolStoryBob-3NLczGR4A8LhXmTa
AI TTS Voices	Many AI voices have recently taken prominence on Aspect's stream. Of particular note is Gordon Ramsey, whose voice often accompanies quite profanity laiden messages.	0	https://clips.twitch.tv/AgileElatedHummingbirdBudStar-YMFm-U8oHZU8l_Yg
Catcam	Let's be honest, Mercs is the only reason most of us watch	0	https://clips.twitch.tv/FurtiveEnjoyableClipsdadKlappa-zcv0V8k3oOUrbGDF
Canada's Worst Driver	Canadian reality game show focused on rehabiltating chronic bad drivers, hosted by Canadian hearthrob Andrew Hung- *cough* Younghusband.	0	https://clips.twitch.tv/CuriousPoliteManateeCopyThis-WIGz8_Kaovnu67Xe
Nightmare mode "12 hours"	Clueless	0	https://clips.twitch.tv/MildCleverMochaFrankerZ-jdEIq1CICLnoCSH2
Canadian	For shame.	0	https://clips.twitch.tv/SweetHilariousAlligatorArgieB8-Rom4kpcWqUimnFDk
La Vaca	moo	0	https://www.youtube.com/watch?v=8jTjNMkWOzM
mods locked in basement (help)	the part about making us watch the Edmonton Oilers is especially true though, even though we'd rather have running water and blankets to protect against the frigid Canadian environment	0	https://clips.twitch.tv/SpoopyPiliablePorcupineCoolStoryBro-bfuGjzGvGSpUcs1x
WR holder	this is down a level because it's been so long that new frogs don't know he's a world record holder PepeLa	1	https://clips.twitch.tv/DoubtfulBloodySnailKeepo--qNdxMUJMNPUW3G4
Streets 1:12	I've never SEEN a 1:13, and I never fucking will!	1	https://youtu.be/oYmqJl4MoNI
SHEWS	During the subathon, couldn't beat Winnie the Pooh's Home Run Derby (there's a Ludwig vid on it) and he played Centerfield almost the whole time, plagued the subathon	1	https://www.youtube.com/watch?v=Xq3hEMUeBGQ 
TheaterBoy	In his high school years, Aspect was quite the theater boy, being featured on his schools YouTube channel with an inspiring quote about community. He can also be seen doing flips and flying around on a wire, which is the subject of the TheaterBoy emote. Years after his final act as a theater kid, Aspecticor made one final grasp at finding that glory from his olden days. Just like he had flown around on stage years earlier, Aspecticor took a rope and tied one end around a ceiling fan, and the other around his waist. However, the fan could not support his weight, and he had to be sent to the hospital from injuries sustained after the ceiling fan came crashing down on top of him.	1	https://www.youtube.com/watch?v=Ls7etcfw2iA 
"it's better to give than to recieve" clip	The most viewed Aspecticor Twitch clip, surpassing the first time he got a world record. That's the place this stream is at right now.	1	https://www.twitch.tv/aspecticor/clip/DullHelplessCarrotHeyGuys-KMUqZTSDTW50aZsb
ScriptDesk's Aspect poster	The poster is a huge fixture of the stream but have you ever looked at it closely Pog we love script	1	https://twitter.com/aspecticor/status/1484684858139938817
real voice	Aspecticor's real voice, as known to people who have met him in real life, is quite high-pitched and tinny, almost like a Canadian Mickey Mouse. It's a wonder that people tolerate his presence. Understandably, he uses a voice changer to sound more masculine to be taken seriously whenever he's on stream. At time, this voice changer breaks and for brief moments, his natural voice can be heard.	1	https://clips.twitch.tv/SweetInspiringBeanTwitchRPG-a5rHjRzbnXs8ORld
MASTER	back before he played freelancer (hardcore just doesn't have that same ring to it), he speedran SA/SO trilogy on the Master difficulty because counterintuitively, he wasn't good enough for the Professional difficulty. Unfortunately, it makes the game harder, which is a bad combination for him.	1	https://clips.twitch.tv/SingleBeautifulScallionMikeHogu-zUjq9l0A39IPnOGY
Biphobic Cat	Mercs makes a point of often attacking Aspecticor's bi flag, leading many to believe that she is in fact biphobic. When held up in front of her, she chose to attack the bi flag instead of the Flavortown flag.	1	https://clips.twitch.tv/RelievedBoldPeafowlArgieB8-M5qmTpJSCHzPR84i
Coma	IF YOU ARE READING THIS MESSAGE WE HAVE MANAGED TO SEND A MESSAGE INTO YOUR MIND AND NEED YOU TO KNOW THAT YOUR FAMILY LOVES YOU NEEDS YOU TO WAKE UP NONE OF IT IS REAL IT IS ALL IN YOUR HEAD	1	https://clips.twitch.tv/PoorDepressedAsparagusFunRun-s39XUfbs3nZO4O23
WACKASSNAILS	WACK ASS NAILS, often followed by a LULW, is a reference to the fact that Aspecticor has self-proclaimed wack ass nails. They are strangely and inexplicably short, a fact which has led to many sleepless nights and tormented days. My his own admission, it is a "great shame" he holds.	1	https://clips.twitch.tv/PlumpConsiderateYakWOOP-2nX23V6jmkeTcovz
Slurspecticor	"Slurspecticor" is a moniker given to Aspecticor in reference to his ongoing trend of saying politically incorrect and offensive statements on stream. On February 2nd, 2022, while streaming HITMAN III, Aspecticor made a shocking admission. Out of nowhere, he brazenly stated that he sometimes slurs. This clip was clipped by QornOnTheQob, therefore, they made the moniker originally. Shocked and appalled, his audience took to Twitter with the #CancelAspecticor, which reached #3 trending in Red Deer. Aspecticor ended stream and returned a day later pretending to be sad, but it wasn't very convincing when he was splashing the fake tears on his face on camera as he apologized. Eventually, following an enlightening reading of 1984, Aspecticor began to ban all mentions of a "slur incident". However, because he is lazy, he eventually gave up at this, and his fans began calling him "Slurspecticor". Further reading: https://aspecticor.fandom.com/wiki/Slurspecticor	1	https://clips.twitch.tv/OptimisticMagnificentTitanPipeHype-_xeYcE1djmEow5IR
Speedrunning PlayingHitman GoingLive WatchingStreamTogether ComputerScience Evan emotes	where would we be without these classic femboy/egirl emotes	1	https://clips.twitch.tv/EasySpeedyHamburgerLitFam-e3h0JvmhpP8xDChp
Alcoholicor	At the young age of his TEDx talk, Aspect had yet to learn a crucial fact— alcohol is the real social lubricant. Since that realization, he has been chugging down liquid courage at every opportunity: on stream, off stream, on the road, you name it.	1	https://clips.twitch.tv/DeadCleverOstrichYouDontSay-sSxe7Dg_USlf5k6T
ad incentiveathon	i cant believe he's streaming for money and not the love of the game!!	1	https://clips.twitch.tv/BillowingSparklingMetalNomNom-HwCCMjeYN_xZh8II
Canadian Education	He probably wasn't even taught that Canada was annexed in 2014.	1	https://clips.twitch.tv/AstuteDeliciousSandstormMau5-JNbOnApH81nzE0W1
BKFL, Mayfield Heights	On July 16, 2012, 11:38, an image was posted to 4Chan. The photo was of a kitchen worker's feet inside two plastic bins of lettuce. The image would be traced to a Burger King in Mayfield Heights, Ohio. A chatter named "Cartwheel76" is probably already spamming the chat with "BKFL" as we speak. Let him do that, he doesn't have very long, poor guy.	1	https://cdn.7tv.app/emote/6360c19c7e05051479ea1bc4/4x.png
RefreshChatOverlayIUploadedAnotherEmote	Aspecticor's stream chat overlay has the unfortunate feature of not being able to refresh in real time as an emote is added, as the mods are wont to do. This leaves a very funny emote, in the form of a picture or video, being unable to render on screen and just be another word. Because we cannot have stream be reduced to what the mobile users basically see on a daily basis, we require that the chat overlay be refreshed posthaste.	1	https://cdn.7tv.app/emote/60b1657f81bdd27f2b44fd0d/4x.webp
Strange flag	Some sort of sideways French flag, weird sexuality tbh	1	https://static.wikia.nocookie.net/aspecticor/images/0/05/Mystery.png/revision/latest/scale-to-width-down/1000?cb=20220318182808
January 6th	There are reports of Aspect being seen at the January 6th riots	1	https://media.discordapp.net/attachments/264217465305825281/1128246509679419452/image.png?width=834&height=471
Deepinsideaspecticorsass	Back before ToxicCheeseburger was ToxicCheeseburger he was DeepInsideAspecticorsAss and before that he was deepinsideaspecticorsass and before that he was Anonymous Gifter. But he got Atrioc to say his username and for a long time the sub audio was "I am deep inside Aspecticor's ass."	2	https://clips.twitch.tv/SpicyPreciousOryxKappaRoss-OpxcVOMuX-IFQ7z6
